"ruta_interna","nombre_archivo","tipo_evidencia","fecha_sesion","fecha_procesamiento","codigo_participante","duracion","codec_formato","tamano_kb_reportado","sha256","estado_revision","observaciones"
"Entrevistas/Audios/2026-07-25_Audio_ENTR-10_InstructorGym.mp3","2026-07-25_Audio_ENTR-10_InstructorGym.mp3","audio","2026-07-25","2026-09-01 14:48","ENTR-10","00:18:07","MP3 (audio=MP3)","16979","8e8e1fa3698f890dc4ab0b227232c0dee0d1749234679bc31c95a508cabb79e8","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-27_Audio_ENTR-02_RecepcionistaGym.mp3","2026-07-27_Audio_ENTR-02_RecepcionistaGym.mp3","audio","2026-07-27","2026-09-01 14:48","ENTR-02","00:22:13","MP3 (audio=MP3)","20836","bf74fcd4e0df2c1168aaa094d5f871363d6ae379db47362f739de851d9a05d0a","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-27_Audio_ENTR-03_RecepcionistaGym.mp3","2026-07-27_Audio_ENTR-03_RecepcionistaGym.mp3","audio","2026-07-27","2026-09-01 14:48","ENTR-03","00:22:17","MP3 (audio=MP3)","20895","d0139b56f20d82611ff11a45a953264f82c50ca258be781aed867fa6740f941b","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-27_Audio_ENTR-04_RecepcionistaGym.mp3","2026-07-27_Audio_ENTR-04_RecepcionistaGym.mp3","audio","2026-07-27","2026-09-01 14:48","ENTR-04","00:24:05","MP3 (audio=MP3)","22575","dd9192e153a84300d7449e0f6bcb442dd3022b68e9277440aaf87fc7aa56a474","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-28_Audio_ENTR-01_DuenoGym.mp3","2026-07-28_Audio_ENTR-01_DuenoGym.mp3","audio","2026-07-28","2026-09-01 14:48","ENTR-01","00:11:09","MP3 (audio=MP3)","10448","2386706802f9612509f7d8b7ed0c9e7f45d9593ce986e2ca99ce4a24f1de5ff3","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-28_Audio_ENTR-05_RecepcionistaGym.mp3","2026-07-28_Audio_ENTR-05_RecepcionistaGym.mp3","audio","2026-07-28","2026-09-01 14:48","ENTR-05","00:20:10","MP3 (audio=MP3)","18900","8a2ebffe96d443be570892bb7b55e6abe507d659a1a67e516fd52af246e1f2ad","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-28_Audio_ENTR-07_DuenoGym.mp3","2026-07-28_Audio_ENTR-07_DuenoGym.mp3","audio","2026-07-28","2026-09-01 14:48","ENTR-07","00:38:02","MP3 (audio=MP3)","35653","364bfccfcde961366dbf62a9a79cc1d0eae42ea394acd91899f14b9decf9bfd6","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-28_Audio_ENTR-08_RecepcionistaGym.mp3","2026-07-28_Audio_ENTR-08_RecepcionistaGym.mp3","audio","2026-07-28","2026-09-01 14:48","ENTR-08","00:17:41","MP3 (audio=MP3)","16575","48c02f4ac5e8db0b39f370374576addc81162e0043ff4acc7ebab86e0a7f6d90","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-28_Audio_ENTR-09_InstructorGym.mp3","2026-07-28_Audio_ENTR-09_InstructorGym.mp3","audio","2026-07-28","2026-09-01 14:48","ENTR-09","00:21:06","MP3 (audio=MP3)","19787","4bb5d0db6a2cb561ccfcf3f0bcf3b6f77d852cbac2ba889f75bacbb35b3e3d7c","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
"Entrevistas/Audios/2026-07-29_Audio_ENTR-06_DuenoGym.mp3","2026-07-29_Audio_ENTR-06_DuenoGym.mp3","audio","2026-07-29","2026-09-01 14:48","ENTR-06","00:27:51","MP3 (audio=MP3)","26110","8d404d41c1bbf53c6fed764f0388dadd15a8da1ff3758bbc84a6782309920dd9","COMPLETO","Ficha técnica completa: duración, formato/códec, tamaño y SHA-256 registrados."
