codigo_sesion,tecnica,perfil,fecha,audio_archivo_declarado,audio_duracion,video_archivo_declarado,video_duracion,consentimiento_publico_censurado,transcripcion_anonimizada,trazabilidad_documental
ENTR-01,Entrevista,Propietario/administracion,2026-07-28,2026-07-28_Audio_ENTR-01_DuenoGym.mp3,00:11:09,2026-07-28_Video_ENTR-01_DuenoGym.mp4,00:11:09,02_Evidencias/Consentimientos/ENTR-01_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-01_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-02,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-02_RecepcionistaGym.mp3,00:22:13,2026-07-27_Video_ENTR-02_RecepcionistaGym.mp4,00:22:13,02_Evidencias/Consentimientos/ENTR-02_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-02_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-03,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-03_RecepcionistaGym.mp3,00:22:17,2026-07-27_Video_ENTR-03_RecepcionistaGym.mp4,00:22:17,02_Evidencias/Consentimientos/ENTR-03_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-03_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-04,Entrevista,Recepcionista,2026-07-27,2026-07-27_Audio_ENTR-04_RecepcionistaGym.mp3,00:24:05,2026-07-27_Video_ENTR-04_RecepcionistaGym.mp4,00:24:05,02_Evidencias/Consentimientos/ENTR-04_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-04_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-05,Entrevista,Recepcionista,2026-07-28,2026-07-28_Audio_ENTR-05_RecepcionistaGym.mp3,00:20:10,2026-07-28_Video_ENTR-05_RecepcionistaGym.mp4,00:20:10,02_Evidencias/Consentimientos/ENTR-05_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-05_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-06,Entrevista,Propietario/administracion,2026-07-29,2026-07-29_Audio_ENTR-06_DuenoGym.mp3,00:27:51,2026-07-29_Video_ENTR-06_DuenoGym.mp4,00:27:51,02_Evidencias/Consentimientos/ENTR-06_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-06_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-07,Entrevista,Propietario/administracion,2026-07-28,2026-07-28_Audio_ENTR-07_DuenoGym.mp3,00:38:02,2026-07-28_Video_ENTR-07_DuenoGym.mp4,00:37:56,02_Evidencias/Consentimientos/ENTR-07_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-07_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-08,Entrevista,Recepcionista,2026-07-28,2026-07-28_Audio_ENTR-08_RecepcionistaGym.mp3,00:17:41,2026-07-28_Video_ENTR-08_RecepcionistaGym.mp4,00:17:41,02_Evidencias/Consentimientos/ENTR-08_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-08_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-09,Entrevista,Instructor,2026-07-28,2026-07-28_Audio_ENTR-09_InstructorGym.mp3,00:21:06,2026-07-28_Video_ENTR-09_InstructorGym.mp4,00:21:06,02_Evidencias/Consentimientos/ENTR-09_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-09_Transcripcion_Anonimizada.txt,COMPLETA
ENTR-10,Entrevista,Instructor,2026-07-25,2026-07-25_Audio_ENTR-10_InstructorGym.mp3,00:18:07,2026-07-25_Video_ENTR-10_InstructorGym.mp4,00:18:07,02_Evidencias/Consentimientos/ENTR-10_Consentimiento_Censurado.pdf,02_Evidencias/Transcripciones/ENTR-10_Transcripcion_Anonimizada.txt,COMPLETA
