variable,source,meaning
Codigo_Sesion,Walkthrough coding,Stable WALK-TEC-01..03 or WALK-NTEC-01..03 identifier
Perfil,Walkthrough coding,Technical/non-technical profile; descriptive grouping only
Categoria,Walkthrough coding,Axial/thematic category assigned to a coded fragment
Codigo_Normalizado,Walkthrough coding,Normalized open code used in accumulation curve
Aplicable_Explicabilidad,Walkthrough coding,Flag for explainability-pertinent fragments
Dimension_Explicabilidad,Walkthrough coding,Multi-label observed explainability labels; no closed denominator
privacy_importance,Client questionnaire,General ordinal privacy-importance item; not explainability
Metrica / Umbral,Candidate RNF,Operational measure and acceptance threshold
Metodo_Comprobacion,Candidate RNF,Verification procedure
Resultado,Member checking,Confirmado / Ajustado / No confirmado
n_unidades,Session-level effect-size table,Total independent WALK sessions used in the profile effect (6 = 3 technical + 3 non-technical)
interpretable,Session-level effect-size table,YES/NO rubric-facing flag for population/inferential interpretation; NO in the terminal analysis because only 3 independent sessions exist per profile
efecto_delta,Session-level effect-size table,Cliff's delta calculated from independent WALK-session outcomes
IC95_bootstrap_exacto_inf / IC95_bootstrap_exacto_sup,Session-level effect-size table,Lower and upper limits of the exhaustive with-replacement bootstrap percentile interval over the 3+3 WALK sessions
