codigo_sesion,tecnica,perfil,fecha_canonica,nota_campo_ruta,estado_nota,sha256_nota,observacion
ENTR-01,Entrevista,Propietario/administracion,2026-07-28,10_Autoria/notas_campo/2026-07-28_ENTR-01_notas_campo.jpg,PRESENTE,853e1e72983ed8199d5d73e281f11fa2e6e79c680f6d994f995eaa9d6838d11c,Nota de campo localizada para la sesión de entrevista.
ENTR-02,Entrevista,Recepcionista,2026-07-27,10_Autoria/notas_campo/2026-07-27_ENTR-02_notas_campo.jpg,PRESENTE,c68cb2eecc781070484a94bd8424ddc1e13b3d7320623507e1d72a793193c1f4,Nota de campo localizada para la sesión de entrevista.
ENTR-03,Entrevista,Recepcionista,2026-07-27,10_Autoria/notas_campo/2026-07-27_ENTR-03_notas_campo.jpg,PRESENTE,e0121792cfdccf72d8f51f66d3643223d165623040b0cbf41451099cb087675a,Nota de campo localizada para la sesión de entrevista.
ENTR-04,Entrevista,Recepcionista,2026-07-27,10_Autoria/notas_campo/2026-07-27_ENTR-04_notas_campo.jpg,PRESENTE,df11c55ae16b8320047dddd852626abfd262207cd98b175ac6f577d69a194a75,Nota de campo localizada para la sesión de entrevista.
ENTR-05,Entrevista,Recepcionista,2026-07-28,10_Autoria/notas_campo/2026-07-28_ENTR-05_notas_campo.jpg,PRESENTE,1fb88c368b3c521c480b9a6c6e1c45bc0f07a3522ca9a0ce59e9bb0cbdaa8b39,Nota de campo localizada para la sesión de entrevista.
ENTR-06,Entrevista,Propietario/administracion,2026-07-29,10_Autoria/notas_campo/2026-07-29_ENTR-06_notas_campo.jpg,PRESENTE,e2afaea00be7de6677b674e896f1b677724ccc00d502ff07b649d5b25d4a32b5,Nota de campo localizada para la sesión de entrevista.
ENTR-07,Entrevista,Propietario/administracion,2026-07-28,10_Autoria/notas_campo/2026-07-28_ENTR-07_notas_campo.jpg,PRESENTE,4190e37bf68ff31e9f1c3464a9139c1ad0396be949c2d85dd976e5e8a2de89d7,Nota de campo localizada para la sesión de entrevista.
ENTR-08,Entrevista,Recepcionista,2026-07-28,10_Autoria/notas_campo/2026-07-28_ENTR-08_notas_campo.jpg,PRESENTE,1ad416c3a150cbcf16502a9afdca5b730a27f13681c96110b0e6cca166ce2a73,Nota de campo localizada para la sesión de entrevista.
ENTR-09,Entrevista,Instructor,2026-07-28,10_Autoria/notas_campo/2026-07-28_ENTR-09_notas_campo.jpg,PRESENTE,3254c179497674ef187772b58ef4d8b8e2a2d21df4071bcf810a051983d270f0,Nota de campo localizada para la sesión de entrevista.
ENTR-10,Entrevista,Instructor,2026-07-25,10_Autoria/notas_campo/2026-07-25_ENTR-10_notas_campo.jpg,PRESENTE,ae009ff1a0788904eb2839390d5587e642fb15b0da7c0c96a803cebe9540161d,Nota de campo localizada para la sesión de entrevista.
WALK-NTEC-01,Walkthrough no tecnico,Instructor,2026-08-16,,NO_DEPOSITADA,,"No existe una nota de campo contemporánea depositada para esta sesión en el corte actual. Si existe el original físico de la época, debe digitalizarse; si no existe, la ausencia se mantiene declarada y no se reconstruye."
WALK-NTEC-02,Walkthrough no tecnico,Recepcionista,2026-08-16,,NO_DEPOSITADA,,"No existe una nota de campo contemporánea depositada para esta sesión en el corte actual. Si existe el original físico de la época, debe digitalizarse; si no existe, la ausencia se mantiene declarada y no se reconstruye."
WALK-NTEC-03,Walkthrough no tecnico,Propietario/administracion,2026-08-22,,NO_DEPOSITADA,,"No existe una nota de campo contemporánea depositada para esta sesión en el corte actual. Si existe el original físico de la época, debe digitalizarse; si no existe, la ausencia se mantiene declarada y no se reconstruye."
WALK-TEC-01,Walkthrough tecnico,Ingenieria de software,2026-08-12,10_Autoria/notas_campo/2026_07_12_WALK-TEC-03_notas_campo.png,PRESENTE_NOMBRE_ARCHIVO_HISTORICO_INCONSISTENTE,02ba07d1b9e68a310e2cbe63b3446d1bfa60ede26ccca74a6d050a64811a56c8,"El contenido manuscrito identifica WALK-TEC-01 y fecha 12/08/2026, aunque el nombre histórico del archivo incluye WALK-TEC-03 y 2026_07_12. Se conserva el archivo sin alterar y se documenta la correspondencia."
WALK-TEC-02,Walkthrough tecnico,Ingenieria de software,2026-08-12,10_Autoria/notas_campo/2026_07_12_WALK-TEC-02_notas_campo.png,PRESENTE_CON_DISCREPANCIA_FECHA,212afe99a296dcfa96fd5963df0047154f9fbfe6dca74030482a9c0e315281e7,"La nota manuscrita identifica WALK-TEC-02 y consigna 12/07/2026, mientras el inventario multimedia canónico registra la sesión el 2026-08-12. No se corrige retrospectivamente la evidencia; se declara la discrepancia."
WALK-TEC-03,Walkthrough tecnico,Ingenieria de software,2026-08-13,10_Autoria/notas_campo/2026_08_13_WALK-TEC-03_notas_campo.png,PRESENTE,38365e8e945bb3ef0436cbc7ba1c88a1496355ce9d7ab8e4f480cb75b9f410c0,Nota contemporánea localizada y coherente con el código y la fecha canónica de la sesión.
